cnpj,plataforma,nome_fundo,classe_anbima,fonte,atualizado
22100009000107,BTG,AZ QUEST ALTRO FIC DE FUNDOS DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO,Multimercados Dinâmico,API,03/06/2026
10320188000109,BTG,AZ QUEST LOW VOL FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO RESPONSABILIDADE LIMITADA,Multimercados Dinâmico,API,03/06/2026
41266134000136,BTG,BTG AUTOINVEST MODERADO FI FINANCEIRO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,Multimercados Dinâmico,API,03/06/2026
58327943000103,BTG,ICATU VANGUARDA DINÂMICO CDI FIF CLASSE DE INVESTIMENTO MULTIMERCADO - RESPONSABILIDADE LIMITADA,Multimercados Dinâmico,API,03/06/2026
64025077000107,BTG,ICATU VANGUARDA IPORANGA PG FIF - CLASSE DE INVESTIMENTO MULTIMERCADO CRED PRIV - RESP LIMITADA,Multimercados Dinâmico,API,03/06/2026
52026419000116,BTG,ITAÚ GLOBAL DINÂMICO ULTRA DISTRIBUIDORES FIF CIC MULTIMERCADO - RESPONSABILIDADE LIMITADA,Multimercados Dinâmico,API,03/06/2026
40265199000102,BTG,RIZA MEYENII 180 FUNDO DE INVESTIMENTO FINANCEIRO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,Multimercados Dinâmico,API,03/06/2026
42405028000159,BTG,ROOT CAPITAL CRÉDITO HG PLUS FIC DE FIF MULTIMERCADO CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA,Multimercados Dinâmico,API,03/06/2026
21983042000160,BTG,ABSOLUTE ALPHA GLOBAL FIC DE FI FINANCEIRO MULTIMERCADO - RESPONSABILIDADE LIMITADA,Multimercados Estrat. Específica,API,03/06/2026
35618055000144,BTG,ABSOLUTE ALPHA MARB FUNDO DE INVESTIMENTO EM COTAS DE FIF MULTIMERCADO - RESPONSABILIDADE LIMITADA,Multimercados Estrat. Específica,API,03/06/2026
51112363000150,BTG,ABSOLUTE HIDRA IPCA FI EM COTAS DE FUNDOS INCENTIVADOS DE INVESTIMENTO EM INFRA RENDA FIXA,Multimercados Estrat. Específica,API,03/06/2026
25213405000139,BTG,AZ QUEST DEB INCENTIVADAS FIC DE FIF INCENTIVADO DE INVESTIMENTO EM INFRA RENDA FIXA CRÉDITO PRIVADO,Multimercados Estrat. Específica,API,03/06/2026
37235773000167,BTG,BRADESCO OURO FI FINANCEIRO - CIC MULT - RESP LIMITADA,Multimercados Estrat. Específica,API,03/06/2026
37235748000183,BTG,BRADESCO OURO USD FI FINANCEIRO - CIC MULT - RESP LIMITADA,Multimercados Estrat. Específica,API,03/06/2026
36498594000150,BTG,BTG PACTUAL REFERENCE OURO FI FINANCEIRO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,Multimercados Estrat. Específica,API,03/06/2026
36727910000118,BTG,BTG PACTUAL REFERENCE OURO USD FI FINANCEIRO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO,Multimercados Estrat. Específica,API,03/06/2026
38120941000131,BTG,BTG PACTUAL REFERENCE PRATA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO,Multimercados Estrat. Específica,API,03/06/2026
43274439000115,BTG,BTG PACTUAL REFERENCE SEMICONDUTORES FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO,Multimercados Estrat. Específica,API,03/06/2026
57879610000124,BTG,BTG PACTUAL SMART OPPORTUNITIES FUNDO DE INVESTIMENTO FINANCEIRO,Multimercados Estrat. Específica,API,03/06/2026
17453850000148,BTG,CLASSE ÚNICA DO WESTERN ASSET US INDEX 500 FIF MULTIMERCADO RESPONSABILIDADE LIMITADA,Multimercados Estrat. Específica,API,03/06/2026
33736845000107,BTG,HASHDEX 100 NASDAQ CRYPTO INDEX FUNDO DE INVESTIMENTO MULTIMERCADO,Multimercados Estrat. Específica,API,03/06/2026
33736873000116,BTG,HASHDEX 20 NASDAQ CRYPTO INDEX FUNDO DE INVESTIMENTO FINANCEIRO EM COTAS DE FIM,Multimercados Estrat. Específica,API,03/06/2026
35088108000162,BTG,HASHDEX 40 NASDAQ CRYPTO INDEX FUNDO DE INVESTIMENTO FINANCEIRO EM COTAS DE FI MULTIMERCADO,Multimercados Estrat. Específica,API,03/06/2026
36986672000165,BTG,HASHDEX BITCOIN FUNDO DE INVESTIMENTO MULTIMERCADO,Multimercados Estrat. Específica,API,03/06/2026
47612274000103,BTG,HASHDEX CRYPTO DINÂMICO LONG-BIASED FIC DE FIF MULTIMERCADO LONGO PRAZO - RESPONSABILIDADE LIMITADA,Multimercados Estrat. Específica,API,03/06/2026
45604985000100,BTG,HASHDEX CRYPTO SELECTION FIC DE FIF MULTIMERCADO - RESPONSABILIDADE LIMITADA,Multimercados Estrat. Específica,API,03/06/2026
44835685000161,BTG,JGP REAL ESTATE MULTIESTRATÉGIA FIC DE FI FINANCEIRO MULTIMERCADO - RESPONSABILIDADE LIMITADA,Multimercados Estrat. Específica,API,03/06/2026
21946695000179,BTG,JGP SELECT FI EM COTAS DE FUNDOS DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO RESP LTDA,Multimercados Estrat. Específica,API,03/06/2026
39487617000119,BTG,LEGACY CAPITAL CREDIT FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO - CRÉDITO PRIVADO RESPONSABILIDA,Multimercados Estrat. Específica,API,03/06/2026
27928186000108,BTG,QUANTITAS FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO GALÁPAGOS RESPONSABILIDADE LIMITADA,Multimercados Estrat. Específica,API,03/06/2026
